Job description,Question 12,Question 13,Question 14,Question 15
"The Marketing Communications Manager is responsible for developing and implementing strategies to support the University in achieving its student recruitment targets and delivering the Marketing and Recruitment Strategy. Key duties include managing the creation and execution of marketing communications plans, developing social media and content strategies, and overseeing the University's CRM system to ensure effective student recruitment communications. The role involves managing a team, including Professional Development Reviews, and maintaining a consistent tone of voice and style across all channels. The Manager is also responsible for monitoring and reporting on the effectiveness of communications, ensuring compliance with CMA regulations, and managing relevant budgets. Additionally, the role requires promoting teamwork, advancing equity and social justice, and ensuring compliance with GDPR and health and safety policies.",C,B,A,B
"The Academic Quality Coordinator provides comprehensive administrative support to maintain definitive programme records and process curriculum modification requests. Key responsibilities include updating and publishing programme and module documentation, ensuring the accuracy of the Programme of Study Catalogue, maintaining the register of Professional, Statutory, and Regulatory Body (PSRB) accreditations, and assisting with curriculum changes. The role also involves managing the Academic Quality web page, supporting academic approval events, and contributing to policy reviews and preparations for external agency visits. Additionally, the Coordinator serves as the 'Data Champion' for the Academic Quality Office, ensuring compliance with GDPR and promoting equity and social justice.",C,B,D,B
"The Head of Grounds is responsible for leading the Grounds section of the Estates Department, ensuring the effective and efficient maintenance of the University’s sports facilities and general estate. Key duties include managing and monitoring grounds staff, planning and implementing annual maintenance programs, managing the grounds budget, and overseeing the maintenance of sports fields and landscaping. The role also involves ensuring compliance with health and safety regulations, managing environmental and biodiversity programs, and overseeing pest control and parking management. Additionally, the Head of Grounds is responsible for supervising the use and maintenance of equipment, organizing training for staff, and supporting the Estates Services Manager with various projects and maintenance requests. The role requires promoting equity, social justice, and compliance with GDPR and health and safety policies.",C,B,A,C
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,B,E,A
"The Senior Apprenticeships Operations Administrator is responsible for supervising the day-to-day management and operation of apprenticeship administration and compliance functions. This includes overseeing onboarding, student progress, end-point assessments, and liaison with other key departments such as student records. The role involves responding to inquiries, supervising the recording of applications, coordinating IT inductions, and ensuring all apprenticeship documentation is completed and returned in compliance with regulatory bodies. The Administrator also manages apprenticeship surveys, organizes meetings and events, supervises compliance checks, and ensures the accuracy of records. Additionally, the role includes producing reports, managing diaries, leading a team of Apprenticeship Administrators, and deputizing for the Apprenticeships Operations Manager when needed. The position requires promoting equity, social justice, GDPR compliance, and continuous improvement in apprenticeship administration.",C,B,C,A
"The Marketing Communications Manager is responsible for developing and implementing strategies to support the University in achieving its student recruitment targets and delivering the Marketing and Recruitment Strategy. Key duties include managing the creation and execution of marketing communications plans, developing social media and content strategies, and overseeing the University's CRM system to ensure effective student recruitment communications. The role involves managing a team, including Professional Development Reviews, and maintaining a consistent tone of voice and style across all channels. The Manager is also responsible for monitoring and reporting on the effectiveness of communications, ensuring compliance with CMA regulations, and managing relevant budgets. Additionally, the role requires promoting teamwork, advancing equity and social justice, and ensuring compliance with GDPR and health and safety policies.",D,B,A,E
"The Security Guard is responsible for patrolling and ensuring the security of Leeds Trinity University’s campus, working Monday to Friday between 6 am and 10 pm. Key duties include conducting regular security patrols, responding to alarms and emergencies, addressing incidents of trespass, break-ins, and anti-social behavior, and providing support during university events. The role also involves reporting incidents, assisting with building maintenance checks, performing first aid duties, and supporting the estates team with tasks such as litter collection, snow clearance, and equipment testing. Additionally, the Security Guard is responsible for ensuring compliance with health and safety regulations, promoting equality and inclusion, and carrying out other duties as directed by the Facilities Services Manager.",D,B,C,A
"The Conference and Events Operations Supervisor is responsible for promoting and implementing commercial opportunities by coordinating conferences and events at Leeds Trinity. The role involves liaising with organizers to meet customer requirements, managing conference and accommodation bookings, developing relationships with local host families, and ensuring risk assessments are conducted for activities. The Supervisor also manages and trains staff, oversees the booking system, and provides data and reports to management. Additional duties include setting up rooms and equipment, facilitating online conferences, coordinating programs for key events, supporting sustainable practices, and maintaining up-to-date digital platforms. The role requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",C,B,E,B
"The School Partnerships Advisor Team Leader is responsible for managing a team of Placement Advisors to ensure the effective provision of partnership and placement services supporting Initial Teacher Training (ITT) at Leeds Trinity University. The role involves setting team priorities, managing workloads, and overseeing the engagement process with partner schools. Key duties include developing innovative partnership programs, ensuring compliance with Ofsted requirements, sourcing and placing trainees, and maintaining strong relationships with partner schools. The Team Leader also supports the quality assurance of placements, resolves issues during placements, and contributes to mentor training programs. Additionally, the role includes ensuring data compliance with GDPR, promoting equity and social justice, and collaborating with internal stakeholders to enhance placement processes.",C,B,C,B
"The Marketing Communications Manager is responsible for developing and implementing strategies to support the University in achieving its student recruitment targets and delivering the Marketing and Recruitment Strategy. Key duties include managing the creation and execution of marketing communications plans, developing social media and content strategies, and overseeing the University's CRM system to ensure effective student recruitment communications. The role involves managing a team, including Professional Development Reviews, and maintaining a consistent tone of voice and style across all channels. The Manager is also responsible for monitoring and reporting on the effectiveness of communications, ensuring compliance with CMA regulations, and managing relevant budgets. Additionally, the role requires promoting teamwork, advancing equity and social justice, and ensuring compliance with GDPR and health and safety policies.",D,B,D,B
"The International Student Support Advisor is responsible for providing specialized pastoral advice and guidance to international students at Leeds Trinity University. The role involves developing and encouraging student engagement, offering specialist information on visa issues, and assisting with a range of international student welfare and immigration-related concerns. Key duties include delivering welcome and orientation activities, signposting students to appropriate support services, maintaining accurate records of student interactions, and ensuring international students are aware of and engage with available support. The Advisor also delivers staff development sessions, liaises with internal and external agencies, and works closely with the Global Engagement team on matters related to international student mobility. Additionally, the role involves promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,D,C,E
"The Assistant Academic Quality Officer (Appeals and Misconduct plays a crucial role in supporting the management, implementation, and continuous improvement of the University's assessment policies, academic appeals, and academic and professional misconduct processes. The role involves attending misconduct panel hearings, managing the appeals process, and providing guidance and training to students and staff on these processes. The Officer is responsible for managing a personal caseload of appeals and misconduct cases, ensuring fair and equitable outcomes, and contributing to the review and development of academic policies. Additionally, the role includes monitoring processes, analyzing data to identify trends, drafting annual reports, and representing the Academic Quality Office in institutional and external groups. The position also requires promoting equity, social justice, and ensuring compliance with GDPR and health and safety regulations.",C,B,C,E
"The Customer Services Assistant is responsible for providing a customer-friendly service to campus residents, with a primary focus on ensuring an efficient mail service for students, staff, and visitors at the University. Key duties include sorting and recording internal and external mail, managing front-of-house reception services, securely issuing mail and parcels, liaising with external mail services, and handling financial transactions related to mailroom purchases. The role also involves responding to inquiries regarding mail and residential queries, maintaining equipment, using relevant software for mail handling, and updating mail services web pages. Additionally, the Assistant ensures GDPR compliance, adheres to health and safety policies, promotes equity and social justice, and may perform other duties as required",D,B,A,C
"The Head of Student Casework is responsible for leading and managing all aspects of student casework at Leeds Trinity University, ensuring the delivery of a responsive and compassionate service that supports the University’s vision and priorities. The role involves handling complex student cases, including academic appeals, misconduct, fitness to study, and student complaints. The Head of Student Casework provides strategic leadership, ensures compliance with legislative and regulatory changes, and reports on casework outcomes to enhance policies and prevent issues from recurring. The role also involves working closely with the University Executive Group, collaborating with the Students' Union, and leading cross-institutional working groups to improve the student experience. Additionally, the Head of Student Casework develops and delivers training on casework matters, maintains an expert view on regulatory changes, and promotes equity and social justice in all aspects of the role.",C,D,C,B
"The Administrator (School of Education) provides efficient administrative leadership for the School of Education, focusing on SCITT partnerships, NPQ programs, and the ECF. Key responsibilities include managing the administration of NPQ and ECF programs from recruitment to assessment, liaising with accredited providers, ensuring compliance with program requirements, and overseeing financial tracking and data accuracy. The role also involves supporting the delivery of Level 7 modules for SCITT partners, coordinating assessment dates, managing payment claims, and contributing to quality assurance processes, including Ofsted inspections. Additionally, the Administrator supports meetings, events, and general School of Education administration while ensuring compliance with GDPR, promoting equity and social justice, and contributing to the University’s student recruitment and retention objectives.",C,B,A,A
"The Marketing Communications Manager is responsible for developing and implementing strategies to support the University in achieving its student recruitment targets and delivering the Marketing and Recruitment Strategy. Key duties include managing the creation and execution of marketing communications plans, developing social media and content strategies, and overseeing the University's CRM system to ensure effective student recruitment communications. The role involves managing a team, including Professional Development Reviews, and maintaining a consistent tone of voice and style across all channels. The Manager is also responsible for monitoring and reporting on the effectiveness of communications, ensuring compliance with CMA regulations, and managing relevant budgets. Additionally, the role requires promoting teamwork, advancing equity and social justice, and ensuring compliance with GDPR and health and safety policies.",C,C,C,B
"The Specific Learning Difficulties Practitioner is responsible for providing specialist academic and pastoral support to students with dyslexia and other specific learning difficulties (SpLD) at Leeds Trinity University. The role involves managing a caseload of students with complex needs, developing Student Inclusion Plans (SIPs) and Individual Learning Plans (ILPs), and offering guidance on Disabled Students Allowance (DSA) applications. The Practitioner will deliver one-on-one and small group sessions, monitor student engagement, and devise personalized support strategies. The role also includes developing policies and procedures for disability services, providing staff training on disability support, and liaising with internal and external stakeholders to ensure students are fully included. Additionally, the Practitioner is expected to participate in University committees, maintain up-to-date case notes, and comply with GDPR and health and safety regulations while promoting equity and inclusion.",C,C,B,B
"The Accommodation & Conference Assistant provides first-line support for accommodation services, handling inquiries from students, staff, and partners via telephone, email, and face-to-face interactions. The role involves managing bookings and resources for conferences, events, and student accommodation, as well as supporting the Conference & Events Operations Supervisor with resource planning and event coordination. Responsibilities include setting up rooms with necessary equipment, providing technical assistance for online meetings, managing mail services, and handling customer complaints. The Assistant also participates in accommodation events, maintains accurate records, allocates bedrooms, and may deputize for the Supervisor. The role requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",D,B,C,B
"The Schools Placement Advisor is responsible for providing a comprehensive placement management service to support Initial Teacher Education (ITE) across Primary, Secondary, SCITT, and School Direct programs. Key duties include sourcing suitable placement opportunities, maintaining effective communication with stakeholders, and developing innovative partnership programs for partner schools. The role involves placing teacher trainees in educational establishments, ensuring compliance with DfE guidelines, advising trainees on placements, and resolving issues that may arise during placements. The Advisor also monitors and reviews placements to sustain and develop partnerships, maintains accurate records, and supports partnership quality through external moderation and review processes. Additionally, the role includes promoting equity and social justice, ensuring GDPR compliance, and contributing to the overall operations of the School Partnerships Office.",C,B,B,A
"The Student Counsellor is responsible for providing confidential counselling services to students at Leeds Trinity University, adhering to the Ethical Framework of the British Association for Counselling and Psychotherapy (BACP). The role involves managing a personal caseload, meeting administrative requirements related to clinical work, and utilizing technology for delivering counselling and support activities. The Counsellor works within a brief therapy model (six sessions), assesses risk, liaises with colleagues involved in student welfare, and attends external supervision as required. The position also includes promoting equity, social justice, and compliance with GDPR, as well as contributing to the University’s student recruitment and retention objectives.",C,C,C,E
"The Senior Web Developer supports the Web Services Manager in developing and managing the institutional Web Content Management System (CMS) and the Leeds Trinity University website to meet user requirements and institutional goals. Key responsibilities include developing and maintaining responsive content and layout templates, integrating the CMS with other systems, ensuring accessibility compliance, managing SEO, and optimizing website performance. The role involves gathering user requirements, conducting user testing, managing and documenting web systems, and line managing the Front-End Web Developer. Additionally, the Senior Web Developer collaborates with IT services, manages external suppliers, ensures adherence to digital governance frameworks, and stays updated with the latest web technologies. General duties include GDPR compliance, promoting health and safety, and advancing equity and social justice within the role.",C,B,E,E
"The Space Manager is responsible for overseeing the management and utilization of the University’s physical spaces, including staff offices, teaching rooms, and meeting spaces. The role involves working with key stakeholders to manage occupancy, capacity, and space utilization, ensuring the space management database is up to date, and providing regular reports based on survey statistics. The Space Manager plays a key role in delivering the Estates Strategy, supporting initiatives like hybrid working, and managing space transitions and decants. The role also includes developing space management policies, preparing costings for space-related projects, and liaising with HR and other departments to plan and review space requirements. Additionally, the Space Manager is responsible for maintaining space management details on the University’s CAFM system, overseeing the condition of furniture in various areas, and leading a team to ensure efficient operations. The role requires promoting equity, social justice, and compliance with GDPR and health and safety regulations.",C,B,A,B
"The Head of Student Records and Academic Timetable provides strategic leadership for the Student Administration team, focusing on the Records and Academic Teaching Timetable areas. The role involves reviewing and implementing institutional strategies and policies, ensuring compliance with external regulatory and accrediting bodies, and overseeing the accuracy and format of programme, module, and student data in the records management system. Key duties include leading liaison efforts with external stakeholders, managing the effective registration of students, developing academic timetables, and coordinating award ceremonies. The role also includes managing significant budgets, promoting service improvements, and ensuring staff development, training, and compliance with GDPR, health and safety, and equality regulations.",C,B,D,A
"The Media Technician is responsible for supporting the effective operation of Media Services by demonstrating media equipment and techniques, operating Audio-Visual equipment, and providing first-line support to staff and students at the Media Centre Helpdesk. Key duties include advising on and instructing the use of media technologies, supporting video editing and production software on both PC and Mac platforms, managing Apple iOS devices, and providing training on Audio-Visual equipment and classroom technology. The role also involves installing and maintaining Audio-Visual equipment, ensuring compliance with health and safety regulations, and applying safe working practices. Additionally, the Media Technician is responsible for ensuring departmental equipment meets required standards, providing routine servicing and first-line maintenance, and assisting with the layout and setup of Audio-Visual equipment throughout the University.",C,B,B,A
"The School Partnerships Administrator is responsible for providing administrative support for the day-to-day operations of the School Partnerships Office (SPO), covering all trainee routes and partnerships. Key duties include maintaining accurate records on the ITT placement database, distributing communications to trainees, school partners, and university staff, and ensuring data accuracy for compliance with internal and external requirements, including Ofsted. The role involves organizing meetings and training sessions for stakeholders, producing reports on placement activities, and handling inquiries with a professional and customer-focused approach. The Administrator is also responsible for applying the institution's Equality, Diversity, and Inclusion Policy, ensuring GDPR compliance, and supporting student recruitment and retention objectives.",D,B,B,B
"The Apprenticeships Operations Administrator supports the effective administration of apprenticeship programs by maintaining systems for tracking apprentice progress, developing and issuing necessary documentation, and ensuring compliance with University and ESFA requirements. The role involves coordinating with the Admissions team, managing surveys and evaluations, supporting the e-learning environment, scheduling teaching sessions, and responding to inquiries from employers and apprentices. Additionally, the Administrator is responsible for organizing meetings, managing diaries, supporting business workshops and events, and contributing to marketing efforts, including social media activity. The role also includes generating reports, supporting employer engagement initiatives, and ensuring GDPR compliance, while promoting equality, diversity, and inclusion.",C,C,B,E
"The Assistant Academic Quality Officer (Appeals and Misconduct plays a crucial role in supporting the management, implementation, and continuous improvement of the University's assessment policies, academic appeals, and academic and professional misconduct processes. The role involves attending misconduct panel hearings, managing the appeals process, and providing guidance and training to students and staff on these processes. The Officer is responsible for managing a personal caseload of appeals and misconduct cases, ensuring fair and equitable outcomes, and contributing to the review and development of academic policies. Additionally, the role includes monitoring processes, analyzing data to identify trends, drafting annual reports, and representing the Academic Quality Office in institutional and external groups. The position also requires promoting equity, social justice, and ensuring compliance with GDPR and health and safety regulations.",C,B,C,E
"The Head of Procurement is responsible for leading the procurement and sourcing function at Leeds Trinity University, ensuring that all goods and services are sourced centrally or through approved partners, and that supplier management is effective. The role involves developing and implementing the University’s procurement strategy and policies, ensuring legislative compliance, and driving continuous improvement to achieve value for money. Key duties include managing the procurement team, overseeing tendering, contract management, and supplier performance, and providing procurement advice to senior management. The Head of Procurement also cultivates strong relationships with stakeholders and external providers, supports collaborative procurement activities, and ensures that procurement practices meet regulatory requirements. Additionally, the role includes staff management responsibilities, ensuring compliance with GDPR, health and safety, and promoting equality and inclusion.",C,D,C,B
"The Graduate Outcomes Careers Advisor works with finalists and graduates to provide targeted careers information, advice, and support to facilitate positive graduate outcomes. Key responsibilities include managing a caseload of graduates, delivering one-on-one and group career interventions, and organizing employer-led events to showcase career opportunities. The Advisor also develops resources to support CV development, application preparation, and graduate pathways, while keeping up to date with labor market trends. Additional duties include supporting the Graduate Outcomes survey, sourcing and advertising graduate opportunities, and maintaining accurate records to inform strategy. The role involves collaboration with alumni, employers, and university staff to enhance graduate employability and ensure a positive user experience on the careers platform. Compliance with GDPR, promotion of equity and social justice, and support for student recruitment and retention objectives are also required.",C,B,D,A
"The Administrator (Academic Partnerships) provides dedicated administrative support to the Academic Partnership Unit (APU), handling tasks such as arranging meetings, managing calendars, taking minutes, and maintaining databases. The role serves as the main point of contact for the APU, managing inquiries from University staff, partner staff, and students, while ensuring high levels of customer service. Key responsibilities include supporting internal and external meetings, coordinating travel and training arrangements, preparing reports and presentations, and maintaining accurate records and information within the department. The Administrator ensures compliance with GDPR, promotes equity and social justice, and adheres to health and safety policies while contributing to the overall efficiency and productivity of the office.",C,B,A,B
"The Finance Business Partner is responsible for building partnerships across the University to lead on financial and resource matters, influencing decision-making, and improving the understanding of business performance. The role involves working closely with budget holders, HR business partners, and the management accounts team to manage budgeting, forecasting, and financial planning. Key duties include monitoring expenditure, preparing financial forecasts, supporting funding bids, developing management information, and contributing to the production of monthly management accounts. The Finance Business Partner also assists with annual budget preparation, provides information for audits, and contributes to improving financial systems. Additionally, the role may involve specific projects such as treasury management and data quality assurance, and deputizing for the Head of Management Accounts and Business Partnering as needed. The position requires compliance with GDPR, health and safety policies, and the promotion of equity and social justice.",C,C,B,B
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,C,C,C
"The Senior Audio-Visual Technician at Leeds Trinity University is responsible for supporting the delivery of the University's strategy by designing, planning, and overseeing the installation, support, and maintenance of all Audio-Visual (AV) systems within learning spaces. The role involves managing AV projects, coordinating activities with internal and external stakeholders, ensuring compliance with IT and cybersecurity policies, and providing routine maintenance and troubleshooting for AV equipment. Additionally, the Technician is tasked with managing the Media Services helpdesk, supporting events and classroom activities, and maintaining an accurate AV assets database. The position also includes producing health and safety processes related to AV use in learning spaces, and communicating updates and service changes via social media and other platforms. The role requires promoting equality and diversity and complying with health, safety, and other relevant policies.",C,D,B,E
"The Clerk of Works is responsible for inspecting construction work at Leeds Trinity University to ensure it meets the required specifications, quality, and safety standards. The role involves conducting regular site inspections, comparing work with RIBA stage drawings, checking materials, and ensuring compliance with legal, environmental, and industry standards. The Clerk of Works has the authority to suspend work, suggest corrections for defects, and monitor construction progress against agreed timelines. Key duties include keeping detailed records, liaising with contractors and other professionals, overseeing snagging and remedial work, and ensuring all necessary documentation, certifications, and commissioning activities are completed. The role also involves promoting health and safety practices and contributing to the University's objectives in student recruitment and retention.",C,B,A,E
"The City Campus Library Manager & Liaison Librarian is responsible for managing and developing library services at the City Campus, ensuring excellent, customer-focused helpdesk services and frontline operations. The role includes leading the User Services team, enhancing library processes, managing circulation services, and developing the physical library environment. The Liaison Librarian aspect involves acting as the primary contact for one or more of the University’s Faculties, providing high-quality user support, delivering information skills training, developing teaching materials, and managing book budgets. The role also involves collaborating with academic staff, supporting research activities, and contributing to resource budget planning. The Manager is expected to promote equity and inclusion, ensure GDPR compliance, and support the University’s recruitment and retention objectives.",D,B,C,E
"The Customer Services Assistant is responsible for providing a customer-friendly service to campus residents, with a primary focus on ensuring an efficient mail service for students, staff, and visitors at the University. Key duties include sorting and recording internal and external mail, managing front-of-house reception services, securely issuing mail and parcels, liaising with external mail services, and handling financial transactions related to mailroom purchases. The role also involves responding to inquiries regarding mail and residential queries, maintaining equipment, using relevant software for mail handling, and updating mail services web pages. Additionally, the Assistant ensures GDPR compliance, adheres to health and safety policies, promotes equity and social justice, and may perform other duties as required",C,C,A,E
"The Administrator (Academic Partnerships) provides dedicated administrative support to the Academic Partnership Unit (APU), handling tasks such as arranging meetings, managing calendars, taking minutes, and maintaining databases. The role serves as the main point of contact for the APU, managing inquiries from University staff, partner staff, and students, while ensuring high levels of customer service. Key responsibilities include supporting internal and external meetings, coordinating travel and training arrangements, preparing reports and presentations, and maintaining accurate records and information within the department. The Administrator ensures compliance with GDPR, promotes equity and social justice, and adheres to health and safety policies while contributing to the overall efficiency and productivity of the office.",D,B,C,E
"The Senior Audio-Visual Technician at Leeds Trinity University is responsible for supporting the delivery of the University's strategy by designing, planning, and overseeing the installation, support, and maintenance of all Audio-Visual (AV) systems within learning spaces. The role involves managing AV projects, coordinating activities with internal and external stakeholders, ensuring compliance with IT and cybersecurity policies, and providing routine maintenance and troubleshooting for AV equipment. Additionally, the Technician is tasked with managing the Media Services helpdesk, supporting events and classroom activities, and maintaining an accurate AV assets database. The position also includes producing health and safety processes related to AV use in learning spaces, and communicating updates and service changes via social media and other platforms. The role requires promoting equality and diversity and complying with health, safety, and other relevant policies.",D,B,C,A
"The Marketing Communications Manager is responsible for developing and implementing strategies to support the University in achieving its student recruitment targets and delivering the Marketing and Recruitment Strategy. Key duties include managing the creation and execution of marketing communications plans, developing social media and content strategies, and overseeing the University's CRM system to ensure effective student recruitment communications. The role involves managing a team, including Professional Development Reviews, and maintaining a consistent tone of voice and style across all channels. The Manager is also responsible for monitoring and reporting on the effectiveness of communications, ensuring compliance with CMA regulations, and managing relevant budgets. Additionally, the role requires promoting teamwork, advancing equity and social justice, and ensuring compliance with GDPR and health and safety policies.",C,C,A,A
"The Indirect Practice Assessor/Indirect Practice Supervisor (    0112E) plays a crucial role in the supervision and assessment of pre-registration nursing students during their practice placements, ensuring that students meet the required proficiencies and outcomes. The role involves serving as a role model for safe and effective practice in line with the NMC Code of Conduct, providing support to colleagues and students, and engaging with practice learning environments. Key responsibilities include supporting, supervising, and assessing students, providing feedback on their progress, contributing to the Practice Assessment Document, and liaising with academic assessors and practice partners. The role also requires managing time and resources effectively, raising concerns about student conduct or competence, and ensuring compliance with the NMC SSSA standards. Additionally, the position involves promoting equity and social justice, ensuring GDPR compliance, and supporting the University’s student recruitment and retention objectives.",C,B,A,B
"The Facilities Assistant (Portering and Security) provides general support to the Estates & Facilities Directorate, including grounds maintenance, portering, and security duties. Key responsibilities include routine porterage of furniture and materials, refuse collection, room setup, driving duties (including the University minibus), and maintaining University vehicles. The role also involves handling reception duties, assisting with grounds maintenance, managing the opening and closing of buildings, issuing keys and access passes, responding to alarms, performing temporary repairs, conducting security patrols, and ensuring adherence to the University Car Parking Policy. Additionally, the Facilities Assistant may perform first aid duties, complete incident reports, and ensure compliance with GDPR, health and safety regulations, while promoting equity and social justice.",C,B,B,B
"The Assistant Academic Quality Officer (Appeals and Misconduct plays a crucial role in supporting the management, implementation, and continuous improvement of the University's assessment policies, academic appeals, and academic and professional misconduct processes. The role involves attending misconduct panel hearings, managing the appeals process, and providing guidance and training to students and staff on these processes. The Officer is responsible for managing a personal caseload of appeals and misconduct cases, ensuring fair and equitable outcomes, and contributing to the review and development of academic policies. Additionally, the role includes monitoring processes, analyzing data to identify trends, drafting annual reports, and representing the Academic Quality Office in institutional and external groups. The position also requires promoting equity, social justice, and ensuring compliance with GDPR and health and safety regulations.",D,B,D,A
"The School Partnerships Manager is responsible for developing and maintaining partnerships between Leeds Trinity University and education partners, managing the School Partnership Office (SPO) team to ensure high-quality, compliant placement services for students. Key duties include building partnerships with schools, Multi-Academy Trusts, and ITE providers, developing strategies to promote the University's school-based training offer, ensuring compliance with DfE and other external requirements, and overseeing quality assurance for school partnerships and training placements. The role also involves managing the SPO budget, supporting marketing efforts, preparing for Ofsted inspections, and collaborating with internal stakeholders on student progress tracking and partnership responsibilities. Additionally, the Manager is responsible for promoting equity and social justice, ensuring GDPR compliance, and safeguarding the welfare of others.",C,B,C,B
"The Network and Security Analyst (Network Specialist) is responsible for assisting the Network and Security team in the development, maintenance, and support of the University's IT security and network infrastructure. Key duties include providing technical support within the ITIL framework, planning and implementing network expansions, and supporting the security of the University's network systems. The role involves contributing to the development of network standards, assisting with staff training on IT security policies, and managing departmental projects. The Analyst is also responsible for monitoring and maintaining core IT systems, documenting security-related changes and incidents, and evaluating new technologies for their potential adoption. Additionally, the role includes working outside normal hours for maintenance tasks, ensuring compliance with GDPR, and deputizing for the Network and Security Manager as required",C,B,C,B
"The Head of Insight and Analytics is responsible for leading the strategic and operational development of insight through analytical approaches to inform and influence key business decisions at Leeds Trinity University. The role involves enhancing the quality and accessibility of analytical outputs, developing performance indicators, and interpreting external data to support strategic planning and risk management. Key duties include delivering high-quality insight reports, championing the use of performance analysis across the institution, and leading projects to improve analytical practices. The Head of Insight and Analytics also plays a vital role in data governance, ensuring data quality and compliance, and provides leadership within the team, including training and development. Additionally, the role involves deputizing for the Director of Planning and Information and promoting equity, diversity, and inclusion.",C,B,C,B
"The Apprenticeships Operations Administrator supports the effective administration of apprenticeship programs by maintaining systems for tracking apprentice progress, developing and issuing necessary documentation, and ensuring compliance with University and ESFA requirements. The role involves coordinating with the Admissions team, managing surveys and evaluations, supporting the e-learning environment, scheduling teaching sessions, and responding to inquiries from employers and apprentices. Additionally, the Administrator is responsible for organizing meetings, managing diaries, supporting business workshops and events, and contributing to marketing efforts, including social media activity. The role also includes generating reports, supporting employer engagement initiatives, and ensuring GDPR compliance, while promoting equality, diversity, and inclusion.",C,B,A,A
"The Specific Learning Difficulties Practitioner is responsible for providing specialist academic and pastoral support to students with dyslexia and other specific learning difficulties (SpLD) at Leeds Trinity University. The role involves managing a caseload of students with complex needs, developing Student Inclusion Plans (SIPs) and Individual Learning Plans (ILPs), and offering guidance on Disabled Students Allowance (DSA) applications. The Practitioner will deliver one-on-one and small group sessions, monitor student engagement, and devise personalized support strategies. The role also includes developing policies and procedures for disability services, providing staff training on disability support, and liaising with internal and external stakeholders to ensure students are fully included. Additionally, the Practitioner is expected to participate in University committees, maintain up-to-date case notes, and comply with GDPR and health and safety regulations while promoting equity and inclusion.",C,B,E,B
"The Programme Operations Manager is responsible for managing the cross-functional systems, processes, and administration that support the effective day-to-day running of policing programmes at Leeds Trinity University. This role involves acting as the first point of contact for partner police forces, leading the development and maintenance of processes for tracking student progress, and ensuring compliance with University, Ofsted, ESFA, and Office for Students requirements. The Manager oversees performance data production, supports the Compliance Manager with Apprenticeship Service records, and maintains audit-ready documentation. Additionally, the role includes coordinating timetabling and student information flows, servicing meetings and committees, and providing line management to administrative colleagues. The Manager is also responsible for ensuring HR policies are upheld, promoting equity and social justice, and complying with GDPR and health and safety regulations.",C,D,C,E
